sorted_index obsid object
0 30062-01-01-00 4U_1608m52
1 20083-01-04-01 4U_1728_34
2 40033-06-03-05 4U_1728_34
3 20083-01-04-00 4U_1728_34
4 40033-06-02-04 4U_1728_34
5 50054-06-10-00 IGR_J17480m2446
6 20083-01-01-01 4U_1728_34
7 20074-02-01-00 4u_1705_m44
8 40027-06-01-02 4U_1728_34
9 40033-06-02-03 4U_1728_34
10 30062-01-02-05 4U_1608m52
11 20073-04-01-03 4u_1705_m44
12 20084-02-01-02 4U_1702m43
13 20083-01-02-01 4U_1728_34
14 40027-06-01-03 4U_1728_34
15 40033-06-02-01 4U_1728_34
16 92023-03-87-01 4U_1728_34
17 40033-06-02-00 4U_1728_34
18 60032-05-09-00 4U_1636_m53
19 40027-08-03-00 4U_1728_34
20 92023-03-76-00 4U_1728_34
21 60032-05-02-00 4U_1636_m53
22 10416-01-01-00 KS_1731m260
23 60032-05-04-00 4U_1636_m53
24 60032-05-01-00 4U_1636_m53
25 60052-03-01-06 4U_1608m52
26 80033-01-14-00 4U_1702m43
27 40033-06-01-00 4U_1728_34
28 70028-01-01-00 4U_1728_34
29 91152-05-02-00 4U_1636_m53
30 50030-03-08-00 4U_1728_34
31 70080-01-02-04 xte_J1808_369
32 50030-03-05-03 4U_1728_34
33 60052-03-01-05 4U_1608m52
34 96322-01-05-00 4U_1728_34
35 80033-01-16-00 4U_1702m43
36 60032-05-07-01 4U_1636_m53
37 50030-01-11-00 4U_1702m43
38 50030-03-05-02 4U_1728_34
39 90406-01-01-00 4U_1728_34
40 40023-01-02-07 sgr_x1
41 93030-01-25-00 HJ1900d1_2455
42 40048-01-02-00 aquila_X1
43 91414-01-08-00 aquila_X1
44 60032-05-03-00 4U_1636_m53
45 91414-01-09-00 aquila_X1
46 92049-01-07-00 HJ1900d1_2455
47 40049-01-03-00 aquila_X1
48 93408-01-25-06 4U_1608m52
49 93408-01-26-04 4U_1608m52
50 95437-01-05-00 IGR_J17480m2446
51 94310-01-04-00 4U_1636_m53
52 60054-02-01-01 aquila_X1
53 94041-01-01-07 xte_J1751m305
54 95030-01-34-00 HJ1900d1_2455
55 91414-01-08-03 aquila_X1
56 91028-01-07-00 aquila_X1
57 93408-01-28-06 4U_1608m52
58 92023-03-55-00 4U_1728_34
59 40048-01-03-00 aquila_X1
60 90030-01-61-00 cyg_x2
61 93030-01-23-00 HJ1900d1_2455
62 80403-01-05-00 aquila_X1
63 50031-02-01-10 KS_1731m260
64 90017-01-04-00 aquila_X1
65 93060-01-58-00 4u_1705_m44
66 40051-03-11-00 4u_1705_m44
67 91028-01-02-00 aquila_X1
68 94437-01-01-01 4U_1636_m53
69 20073-04-01-00 4u_1705_m44
70 91028-01-13-00 aquila_X1
71 30060-03-01-01 v4634_sgr
72 91028-01-09-00 aquila_X1
73 40034-01-04-05 4u_1705_m44
74 30046-01-10-00 cyg_x2
75 50031-02-02-05 KS_1731m260
76 90030-01-19-00 cyg_x2
77 91152-05-01-00 4U_1636_m53
78 50031-02-01-01 KS_1731m260
79 50031-02-02-01 KS_1731m260
80 40034-01-08-02 4u_1705_m44
81 90017-01-06-00 aquila_X1
82 30054-04-03-02 v4634_sgr
83 50031-02-01-00 KS_1731m260
84 50031-02-01-05 KS_1731m260
85 90017-01-05-00 aquila_X1
86 90017-01-03-01 aquila_X1
87 20089-01-01-02 v4634_sgr
88 50031-02-01-02 KS_1731m260
89 91028-01-14-00 aquila_X1
90 20089-01-01-01 v4634_sgr
91 91009-01-06-01 cyg_x2
92 50049-01-04-02 aquila_X1
93 93060-01-08-00 4u_1705_m44
94 30054-04-02-02 v4634_sgr
95 80048-01-01-04 v4634_sgr
96 30054-04-02-01 v4634_sgr
97 80048-01-01-00 v4634_sgr
98 80048-01-01-07 v4634_sgr
99 93060-01-10-00 4u_1705_m44
100 90030-01-21-01 cyg_x2
101 50049-01-04-03 aquila_X1
102 40034-01-09-00 4u_1705_m44
103 70044-01-02-01 v4634_sgr
104 50035-01-03-09 v4634_sgr
105 91017-01-01-05 v4634_sgr
106 90043-01-02-01 v4634_sgr
107 30046-01-04-00 cyg_x2
108 50035-01-02-02 v4634_sgr
109 50035-01-02-04 v4634_sgr
110 50035-01-02-00 v4634_sgr
111 90043-01-01-01 v4634_sgr
112 91009-01-43-01 cyg_x2
113 50035-01-01-01 v4634_sgr
114 70044-01-02-00 v4634_sgr
115 70044-01-01-02 v4634_sgr
116 92703-01-04-02 v4634_sgr
117 90043-01-03-01 v4634_sgr
118 90043-01-01-02 v4634_sgr
119 80049-01-01-00 v4634_sgr
120 95437-01-13-01 IGR_J17480m2446
121 91017-01-02-11 v4634_sgr
122 80049-01-03-03 v4634_sgr
123 91017-01-02-03 v4634_sgr
124 70044-01-04-00 v4634_sgr
125 91017-01-02-09 v4634_sgr
126 91017-01-02-01 v4634_sgr
127 80049-01-03-02 v4634_sgr
128 50035-01-03-00 v4634_sgr
129 50035-01-03-08 v4634_sgr
130 91039-01-02-42 4u_1705_m44
132 70044-01-01-00 v4634_sgr
133 91023-01-04-01 4U_1728_34
134 92031-01-02-00 v4634_sgr
135 70015-02-01-00 cyg_x2
136 50035-01-03-10 v4634_sgr
137 92038-01-10-03 cyg_x2
138 70025-01-01-00 v4634_sgr
140 90030-01-24-00 cyg_x2
141 90030-01-38-00 cyg_x2
142 80418-01-01-01 xte_J1814m338
143 80145-02-01-00 xte_J1814m338
144 93060-01-12-00 4u_1705_m44
145 96440-01-02-02 aquila_X1
146 96322-01-04-01 4U_1728_34
147 80418-01-01-03 xte_J1814m338
148 96322-01-04-02 4U_1728_34
149 95437-01-12-05 IGR_J17480m2446
150 30046-01-07-00 cyg_x2
151 96322-01-04-00 4U_1728_34
152 95437-01-13-00 IGR_J17480m2446
153 80418-01-03-02 xte_J1814m338
154 95437-01-13-02 IGR_J17480m2446
155 90425-01-02-14 IGR_J00291p5934
156 90030-01-04-00 cyg_x2
157 95437-01-12-04 IGR_J17480m2446
158 80418-01-03-06 xte_J1814m338
159 95437-01-12-03 IGR_J17480m2446
160 95437-01-12-00 IGR_J17480m2446
161 96322-01-02-00 4U_1728_34
162 80418-01-02-04 xte_J1814m338
164 80418-01-02-05 xte_J1814m338
165 80418-01-04-00 xte_J1814m338
166 80418-01-02-06 xte_J1814m338
167 95437-01-12-01 IGR_J17480m2446
168 91009-01-04-00 cyg_x2
169 92023-03-84-10 4U_1728_34
170 80418-01-02-01 xte_J1814m338
171 95437-01-11-04 IGR_J17480m2446
172 70014-02-01-05 cyg_x2
173 96322-01-03-01 4U_1728_34
174 80418-01-01-09 xte_J1814m338
175 95437-01-11-03 IGR_J17480m2446
176 93060-01-13-00 4u_1705_m44
177 90030-01-31-00 cyg_x2
178 80418-01-01-05 xte_J1814m338
185 50054-06-03-00 IGR_J17480m2446
186 50054-06-02-01 IGR_J17480m2446
188 95437-01-02-01 IGR_J17480m2446
189 95437-01-11-02 IGR_J17480m2446
198 50138-03-04-00 IGR_J17480m2446
204 50054-06-04-00 IGR_J17480m2446
206 50054-06-02-00 IGR_J17480m2446
207 96087-01-45-10 4U_1636_m53
208 50138-03-05-00 IGR_J17480m2446
209 50031-01-02-05 4U_0614p09
210 80138-04-02-00 xte_J1814m338
223 50054-06-02-02 IGR_J17480m2446
227 50054-06-01-00 IGR_J17480m2446
228 50054-06-04-03 IGR_J17480m2446
234 50054-06-01-01 IGR_J17480m2446
242 50138-03-01-00 IGR_J17480m2446
259 92023-03-88-10 4U_1728_34
395 50031-02-01-03 KS_1731m260
649 93030-01-22-00 HJ1900d1_2455
767 96306-01-01-00 v4634_sgr
830 96322-01-03-00 4U_1728_34
843 80105-11-01-00 v4634_sgr
967 90403-01-02-01 aquila_X1
971 50035-01-03-11 v4634_sgr
972 10088-01-09-01 4U_1636_m53
973 20053-04-01-02 cyg_x2
974 20053-04-01-04 cyg_x2
975 20053-04-01-07 cyg_x2
976 30046-01-01-00 cyg_x2
977 30046-01-05-01 cyg_x2
978 30046-01-06-00 cyg_x2
979 30046-01-06-01 cyg_x2
980 30046-01-09-00 cyg_x2
981 30046-01-11-00 cyg_x2
982 30418-01-05-00 cyg_x2
983 40028-01-10-00 4U_1636_m53
984 50054-06-04-01 IGR_J17480m2446
985 60032-01-23-03 4U_1636_m53
986 70038-01-01-00 4u_1705_m44
987 70038-01-01-01 4u_1705_m44
988 70104-02-02-01 cyg_x2
989 80049-01-02-00 v4634_sgr
990 90022-08-01-00 cyg_x2
991 90030-01-08-00 cyg_x2
992 90030-01-37-00 cyg_x2
993 90030-01-66-00 cyg_x2
994 90030-01-80-00 cyg_x2
995 90030-01-83-01 cyg_x2
996 91009-01-01-00 cyg_x2
997 91009-01-32-00 cyg_x2
998 91009-01-44-00 cyg_x2
999 91023-02-09-00 4U_1702m43
1000 91028-01-21-00 aquila_X1
1001 92023-01-28-10 4U_1636_m53
1002 92023-03-87-10 4U_1728_34
1003 95437-01-02-00 IGR_J17480m2446
1004 95437-01-03-00 IGR_J17480m2446
1005 95437-01-03-02 IGR_J17480m2446
1006 95437-01-04-00 IGR_J17480m2446
1007 95437-01-04-01 IGR_J17480m2446
1008 95437-01-05-01 IGR_J17480m2446
1009 95437-01-07-01 IGR_J17480m2446
1010 95437-01-08-00 IGR_J17480m2446
1011 95437-01-09-00 IGR_J17480m2446
1012 95437-01-10-01 IGR_J17480m2446
1013 95437-01-10-05 IGR_J17480m2446
1014 95437-01-11-00 IGR_J17480m2446
1015 95437-01-11-06 IGR_J17480m2446
1016 96440-01-09-01 aquila_X1
